sample_id,tcga,tissue,tissue_subtype,ic50,auc
COLO-678,COREAD,digestive_system,large_intestine,0.7,0.803
CW-2,COREAD,digestive_system,large_intestine,6.48,0.966
786-0,KIRC,kidney,kidney,0.0113,0.229
SK-NEP-1,UNCLASSIFIED,kidney,kidney,0.0189,0.306
G-401,UNCLASSIFIED,kidney,kidney,0.0215,0.337
HA7-RCC,KIRC,kidney,kidney,0.0225,0.344
VMRC-RCW,KIRC,kidney,kidney,0.0264,0.356
LB1047-RCC,KIRC,kidney,kidney,0.0277,0.375
769-P,KIRC,kidney,kidney,0.0295,0.383
OS-RC-2,KIRC,kidney,kidney,0.0336,0.415
TK10,KIRC,kidney,kidney,0.0357,0.416
CAL-54,KIRC,kidney,kidney,0.0362,0.415
BFTC-909,KIRC,kidney,kidney,0.0412,0.429
VMRC-RCZ,KIRC,kidney,kidney,0.045,0.448
SW13,ACC,kidney,adrenal_gland,0.051,0.464
U031,KIRC,kidney,kidney,0.0513,0.465
BB65-RCC,KIRC,kidney,kidney,0.0546,0.476
LB2241-RCC,KIRC,kidney,kidney,0.0595,0.489
ACHN,KIRC,kidney,kidney,0.0619,0.495
RCC10RGB,KIRC,kidney,kidney,0.0623,0.497
A704,KIRC,kidney,kidney,0.0749,0.525
RXF393,KIRC,kidney,kidney,0.0766,0.525
SW156,KIRC,kidney,kidney,0.0768,0.528
LB996-RCC,KIRC,kidney,kidney,0.0845,0.541
CAKI-1,KIRC,kidney,kidney,0.127,0.589
KMRC-20,KIRC,kidney,kidney,0.175,0.656
SN12C,KIRC,kidney,kidney,0.21,0.674
KMRC-1,KIRC,kidney,kidney,0.488,0.79
A498,KIRC,kidney,kidney,2.42,0.881
SBC-3,SCLC,lung,lung_small_cell_carcinoma,0.00624,0.153
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,0.00954,0.226
NCI-H1417,SCLC,lung,lung_small_cell_carcinoma,0.00963,0.241
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,0.0102,0.222
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0106,0.234
NCI-H522,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0109,0.255
NCI-H810,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0111,0.233
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0123,0.266
NCI-H727,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,0.0125,0.305
H2369,MESO,lung,mesothelioma,0.0132,0.265
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0142,0.264
LB647-SCLC,SCLC,lung,lung_small_cell_carcinoma,0.0146,0.286
LCLC-103H,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0155,0.272
LK-2,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.016,0.282
HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0163,0.29
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,0.0164,0.269
EBC-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.0169,0.306
HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0181,0.303
NCI-H1618,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0189,0.35
MS-1,SCLC,lung,lung_small_cell_carcinoma,0.019,0.302
COLO-668,SCLC,lung,lung_small_cell_carcinoma,0.0195,0.316
NCI-H1437,LUAD,lung,lung_NSCLC_adenocarcinoma,0.02,0.323
NCI-H2228,LUAD,lung,lung_NSCLC_adenocarcinoma,0.023,0.369
LC-1F,UNCLASSIFIED,lung,lung_NSCLC_squamous_cell_carcinoma,0.0242,0.365
NCI-H1568,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0248,0.367
NCI-H64,SCLC,lung,lung_small_cell_carcinoma,0.0252,0.334
NCI-H510A,SCLC,lung,lung_small_cell_carcinoma,0.0255,0.35
COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0262,0.358
HCC-33,SCLC,lung,lung_small_cell_carcinoma,0.0265,0.362
NCI-H2286,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0266,0.364
NCI-H748,SCLC,lung,lung_small_cell_carcinoma,0.0281,0.385
COR-L88,SCLC,lung,lung_small_cell_carcinoma,0.0281,0.381
201T,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0286,0.386
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0288,0.382
NCI-H719,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.029,0.378
SCLC-21H,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0295,0.382
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.0303,0.386
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,0.0303,0.375
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,0.0307,0.382
NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0313,0.382
SBC-5,SCLC,lung,lung_small_cell_carcinoma,0.0315,0.377
H2596,UNCLASSIFIED,lung,mesothelioma,0.032,0.384
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0325,0.4
ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0336,0.407
LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.034,0.404
NCI-H2126,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.0344,0.413
DMS-153,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0344,0.419
H290,MESO,lung,mesothelioma,0.0359,0.405
Calu-3,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0361,0.419
LC-1-sq,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.0365,0.418
LU-135,SCLC,lung,lung_small_cell_carcinoma,0.0382,0.411
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,0.0385,0.42
CPC-N,SCLC,lung,lung_small_cell_carcinoma,0.0388,0.424
NCI-H3122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0393,0.424
NCI-H520,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.04,0.427
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.041,0.431
NCI-H1915,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0412,0.431
NCI-H220,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0412,0.433
NCI-H1355,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0416,0.443
LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0419,0.432
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.042,0.429
LU-134-A,SCLC,lung,lung_small_cell_carcinoma,0.0422,0.436
NCI-H1651,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0427,0.438
SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.0437,0.442
NCI-H1836,SCLC,lung,lung_small_cell_carcinoma,0.0439,0.443
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.0439,0.443
NCI-H358,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0453,0.448
LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0455,0.445
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,0.0456,0.443
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,0.0463,0.449
NCI-H1299,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0464,0.453
DMS-273,SCLC,lung,lung_small_cell_carcinoma,0.0465,0.451
NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,0.047,0.453
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,0.0471,0.457
NCI-H661,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0478,0.457
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.0492,0.459
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0496,0.462
NCI-H2405,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0523,0.469
NCI-H1522,UNCLASSIFIED,lung,lung_small_cell_carcinoma,0.0525,0.466
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0553,0.477
COR-L279,SCLC,lung,lung_small_cell_carcinoma,0.0559,0.477
NCI-H28,MESO,lung,mesothelioma,0.0563,0.482
NCI-H226,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.0564,0.48
NCI-H2081,SCLC,lung,lung_small_cell_carcinoma,0.0567,0.481
LU-165,SCLC,lung,lung_small_cell_carcinoma,0.057,0.483
IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0572,0.483
H2595,MESO,lung,mesothelioma,0.0583,0.487
H2461,MESO,lung,mesothelioma,0.0584,0.487
NCI-H1688,SCLC,lung,lung_small_cell_carcinoma,0.0584,0.486
NCI-H2085,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0591,0.488
NCI-H2009,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0614,0.493
LU-139,SCLC,lung,lung_small_cell_carcinoma,0.0615,0.494
BEN,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.0625,0.497
NCI-H1694,SCLC,lung,lung_small_cell_carcinoma,0.063,0.497
NCI-H69,SCLC,lung,lung_small_cell_carcinoma,0.064,0.5
NCI-H441,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0644,0.501
H2591,MESO,lung,mesothelioma,0.0648,0.502
H2804,MESO,lung,mesothelioma,0.0658,0.504
NCI-H187,SCLC,lung,lung_small_cell_carcinoma,0.0682,0.51
NCI-H2087,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0698,0.513
NCI-H2135,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.0729,0.521
HCC-78,LUAD,lung,lung_NSCLC_adenocarcinoma,0.074,0.521
NCI-H2172,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.075,0.522
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0765,0.53
Calu-1,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.0799,0.533
NCI-H1092,SCLC,lung,lung_small_cell_carcinoma,0.081,0.537
NCI-H1734,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0811,0.536
NCI-H196,SCLC,lung,lung_small_cell_carcinoma,0.0814,0.537
NCI-H1304,SCLC,lung,lung_small_cell_carcinoma,0.0826,0.539
NCI-H1693,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0826,0.532
NCI-H2141,SCLC,lung,lung_small_cell_carcinoma,0.0837,0.543
NCI-H2196,SCLC,lung,lung_small_cell_carcinoma,0.0847,0.543
NCI-H2347,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0853,0.542
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,0.0872,0.55
NCI-H1993,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0891,0.546
NCI-H2444,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.0895,0.55
NCI-H2052,MESO,lung,mesothelioma,0.0902,0.549
NCI-H596,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.0905,0.549
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.0911,0.551
SHP-77,SCLC,lung,lung_small_cell_carcinoma,0.0913,0.559
H2731,MESO,lung,mesothelioma,0.0921,0.554
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.0932,0.556
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0932,0.556
H2373,MESO,lung,mesothelioma,0.0936,0.554
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.0937,0.563
IST-MES1,MESO,lung,mesothelioma,0.0965,0.565
UMC-11,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,0.0971,0.57
H3255,LUAD,lung,lung_NSCLC_adenocarcinoma,0.0983,0.563
NCI-H1436,SCLC,lung,lung_small_cell_carcinoma,0.0996,0.566
COR-L95,SCLC,lung,lung_small_cell_carcinoma,0.1,0.566
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,0.101,0.57
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.104,0.569
H2722,MESO,lung,mesothelioma,0.107,0.575
DMS-79,SCLC,lung,lung_small_cell_carcinoma,0.107,0.575
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.11,0.584
SW900,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.112,0.583
H2869,MESO,lung,mesothelioma,0.113,0.581
NCI-H1435,LUAD,lung,lung_NSCLC_adenocarcinoma,0.114,0.596
DV-90,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.12,0.599
ChaGo-K-1,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.122,0.595
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,0.123,0.594
NCI-H2023,LUAD,lung,lung_NSCLC_adenocarcinoma,0.134,0.605
H2803,MESO,lung,mesothelioma,0.135,0.609
SK-LU-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.139,0.609
NCI-H647,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.139,0.62
NCI-H23,LUAD,lung,lung_NSCLC_adenocarcinoma,0.15,0.635
LOU-NH91,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.155,0.633
SBC-1,SCLC,lung,lung_small_cell_carcinoma,0.155,0.641
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.16,0.636
SW1271,SCLC,lung,lung_small_cell_carcinoma,0.161,0.635
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.164,0.637
NCI-H1623,LUAD,lung,lung_NSCLC_adenocarcinoma,0.167,0.636
NCI-H1792,LUAD,lung,lung_NSCLC_adenocarcinoma,0.168,0.658
NCI-H838,LUAD,lung,lung_NSCLC_adenocarcinoma,0.173,0.653
NCI-H2029,SCLC,lung,lung_small_cell_carcinoma,0.176,0.666
NCI-H1755,LUAD,lung,lung_NSCLC_adenocarcinoma,0.176,0.647
NCI-H1385,UNCLASSIFIED,lung,lung_NSCLC_squamous_cell_carcinoma,0.181,0.659
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.182,0.648
NCI-H650,LUAD,lung,lung_NSCLC_adenocarcinoma,0.185,0.658
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,0.187,0.676
SW1573,LUAD,lung,lung_NSCLC_adenocarcinoma,0.199,0.653
LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.201,0.664
MPP-89,MESO,lung,mesothelioma,0.21,0.663
NCI-H2452,MESO,lung,mesothelioma,0.211,0.67
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,0.248,0.705
NCI-H841,SCLC,lung,lung_small_cell_carcinoma,0.256,0.712
NCI-H1155,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.258,0.735
NCI-H1048,SCLC,lung,lung_small_cell_carcinoma,0.272,0.733
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,0.325,0.735
NCI-H1573,LUAD,lung,lung_NSCLC_adenocarcinoma,0.387,0.773
DMS-53,SCLC,lung,lung_small_cell_carcinoma,0.403,0.764
H2795,MESO,lung,mesothelioma,0.403,0.776
NCI-H345,SCLC,lung,lung_small_cell_carcinoma,0.485,0.788
NCI-H2227,SCLC,lung,lung_small_cell_carcinoma,0.499,0.784
H513,MESO,lung,mesothelioma,0.504,0.775
H2818,MESO,lung,mesothelioma,0.596,0.817
NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.614,0.822
NCI-H1781,LUAD,lung,lung_NSCLC_adenocarcinoma,0.658,0.831
RERF-LC-KJ,LUAD,lung,lung_NSCLC_adenocarcinoma,0.666,0.829
NCI-H1404,UNCLASSIFIED,lung,lung_NSCLC_papillary,0.698,0.831
DMS-114,SCLC,lung,lung_small_cell_carcinoma,0.719,0.821
EKVX,LUAD,lung,lung_NSCLC_adenocarcinoma,0.774,0.745
NCI-H1563,LUAD,lung,lung_NSCLC_adenocarcinoma,1.18,0.863
RERF-LC-Sq1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.3,0.841
NCI-H1793,LUAD,lung,lung_NSCLC_adenocarcinoma,1.32,0.848
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,2.43,0.909
NCI-H1395,LUAD,lung,lung_NSCLC_adenocarcinoma,2.63,0.903
NCI-H720,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,5.25,0.977
NCI-H2291,LUAD,lung,lung_NSCLC_adenocarcinoma,6.78,0.942
NCI-H1838,LUAD,lung,lung_NSCLC_adenocarcinoma,7,0.957
MSTO-211H,MESO,lung,mesothelioma,7.75,0.986
CHP-212,NB,nervous_system,neuroblastoma,0.00806,0.186
Daoy,MB,nervous_system,medulloblastoma,0.0137,0.254
SK-N-SH,NB,nervous_system,neuroblastoma,0.0159,0.286
TASK1,UNCLASSIFIED,nervous_system,nervous_system_other,0.019,0.296
KP-N-YS,NB,nervous_system,neuroblastoma,0.0207,0.335
CHP-126,NB,nervous_system,neuroblastoma,0.0208,0.327
NB(TU)1-10,NB,nervous_system,neuroblastoma,0.0224,0.325
NB69,NB,nervous_system,neuroblastoma,0.025,0.344
NB7,NB,nervous_system,neuroblastoma,0.027,0.367
GB-1,GBM,nervous_system,glioma,0.0277,0.378
NB13,NB,nervous_system,neuroblastoma,0.0317,0.383
GI-ME-N,NB,nervous_system,neuroblastoma,0.0332,0.411
GAMG,LGG,nervous_system,glioma,0.0338,0.401
KS-1,GBM,nervous_system,glioma,0.0378,0.425
NB14,NB,nervous_system,neuroblastoma,0.0414,0.429
MC-IXC,NB,nervous_system,neuroblastoma,0.0417,0.423
MOG-G-CCM,LGG,nervous_system,glioma,0.0426,0.44
SF295,GBM,nervous_system,glioma,0.0448,0.445
KG-1-C,UNCLASSIFIED,nervous_system,glioma,0.0478,0.452
ONS-76,MB,nervous_system,medulloblastoma,0.0479,0.455
YKG-1,GBM,nervous_system,glioma,0.0479,0.454
SK-N-DZ,NB,nervous_system,neuroblastoma,0.0484,0.455
LN-229,GBM,nervous_system,glioma,0.0497,0.46
BE2-M17,NB,nervous_system,neuroblastoma,0.0505,0.463
SF268,GBM,nervous_system,glioma,0.0514,0.466
ACN,UNCLASSIFIED,nervous_system,neuroblastoma,0.0536,0.472
TGW,NB,nervous_system,neuroblastoma,0.0546,0.473
NB1,NB,nervous_system,neuroblastoma,0.0553,0.478
GI-1,LGG,nervous_system,glioma,0.0557,0.477
NBsusSR,UNCLASSIFIED,nervous_system,neuroblastoma,0.0566,0.479
NB6,NB,nervous_system,neuroblastoma,0.0568,0.483
IMR-5,NB,nervous_system,neuroblastoma,0.0568,0.48
KELLY,NB,nervous_system,neuroblastoma,0.0592,0.487
8-MG-BA,GBM,nervous_system,glioma,0.0595,0.488
H4,LGG,nervous_system,glioma,0.0608,0.492
D-283MED,MB,nervous_system,medulloblastoma,0.0615,0.493
M059J,GBM,nervous_system,glioma,0.0635,0.499
SF539,LGG,nervous_system,glioma,0.0657,0.504
NB12,NB,nervous_system,neuroblastoma,0.0697,0.512
NH-12,NB,nervous_system,neuroblastoma,0.0711,0.516
NMC-G1,LGG,nervous_system,glioma,0.072,0.517
SNB75,GBM,nervous_system,glioma,0.0784,0.527
SF126,GBM,nervous_system,glioma,0.0837,0.542
SW1783,LGG,nervous_system,glioma,0.0849,0.547
AM-38,GBM,nervous_system,glioma,0.0887,0.551
no-10,LGG,nervous_system,glioma,0.0917,0.552
NB5,NB,nervous_system,neuroblastoma,0.0924,0.558
NB10,NB,nervous_system,neuroblastoma,0.0961,0.565
U251,GBM,nervous_system,glioma,0.0969,0.567
KINGS-1,LGG,nervous_system,glioma,0.0994,0.56
Hs-683,LGG,nervous_system,glioma,0.1,0.57
Becker,GBM,nervous_system,glioma,0.101,0.568
D-542MG,GBM,nervous_system,glioma,0.109,0.576
DBTRG-05MG,GBM,nervous_system,glioma,0.118,0.59
A172,GBM,nervous_system,glioma,0.121,0.603
CCF-STTG1,GBM,nervous_system,glioma,0.134,0.616
42-MG-BA,GBM,nervous_system,glioma,0.135,0.614
KALS-1,LGG,nervous_system,glioma,0.137,0.603
SIMA,NB,nervous_system,neuroblastoma,0.137,0.613
LN-18,GBM,nervous_system,glioma,0.143,0.639
MOG-G-UVW,LGG,nervous_system,glioma,0.16,0.645
GOTO,NB,nervous_system,neuroblastoma,0.16,0.636
KP-N-YN,NB,nervous_system,neuroblastoma,0.162,0.639
U-118-MG,GBM,nervous_system,glioma,0.165,0.638
LN-405,GBM,nervous_system,glioma,0.18,0.645
no-11,LGG,nervous_system,glioma,0.191,0.653
PFSK-1,MB,nervous_system,medulloblastoma,0.227,0.69
SK-N-FI,NB,nervous_system,neuroblastoma,0.247,0.708
CAS-1,GBM,nervous_system,glioma,0.264,0.688
D-263MG,GBM,nervous_system,glioma,0.284,0.707
KNS-42,LGG,nervous_system,glioma,0.308,0.719
D-392MG,GBM,nervous_system,glioma,0.315,0.709
U-87-MG,GBM,nervous_system,glioma,0.339,0.733
LNZTA3WT4,GBM,nervous_system,glioma,0.356,0.76
T98G,GBM,nervous_system,glioma,0.399,0.783
LAN-6,NB,nervous_system,neuroblastoma,0.427,0.759
SK-N-AS,NB,nervous_system,neuroblastoma,0.437,0.766
GMS-10,GBM,nervous_system,glioma,0.498,0.801
KNS-81-FD,LGG,nervous_system,glioma,0.502,0.763
SW1088,GBM,nervous_system,glioma,0.575,0.783
D-502MG,LGG,nervous_system,glioma,0.655,0.774
DK-MG,GBM,nervous_system,glioma,0.741,0.791
MHH-NB-11,NB,nervous_system,neuroblastoma,0.91,0.851
HPAC,PAAD,pancreas,pancreas,0.013,0.294
PSN1,PAAD,pancreas,pancreas,0.0176,0.284
KP-2,PAAD,pancreas,pancreas,0.0269,0.368
BxPC-3,PAAD,pancreas,pancreas,0.0325,0.398
MIA-PaCa-2,PAAD,pancreas,pancreas,0.0389,0.424
PANC-10-05,PAAD,pancreas,pancreas,0.0401,0.434
SU8686,PAAD,pancreas,pancreas,0.0442,0.445
PANC-02-03,PAAD,pancreas,pancreas,0.0527,0.472
PL4,PAAD,pancreas,pancreas,0.0582,0.485
PA-TU-8902,PAAD,pancreas,pancreas,0.0596,0.49
MZ1-PC,PAAD,pancreas,pancreas,0.0598,0.49
HuP-T4,PAAD,pancreas,pancreas,0.0635,0.499
KP-3,UNCLASSIFIED,pancreas,pancreas,0.0637,0.499
KP-1N,PAAD,pancreas,pancreas,0.0705,0.515
AsPC-1,PAAD,pancreas,pancreas,0.0711,0.513
SUIT-2,PAAD,pancreas,pancreas,0.0755,0.526
HPAF-II,PAAD,pancreas,pancreas,0.0845,0.539
HuP-T3,PAAD,pancreas,pancreas,0.0867,0.544
CFPAC-1,PAAD,pancreas,pancreas,0.0949,0.559
PA-TU-8988T,PAAD,pancreas,pancreas,0.0989,0.569
PL18,PAAD,pancreas,pancreas,0.107,0.581
DAN-G,PAAD,pancreas,pancreas,0.113,0.596
PANC-03-27,PAAD,pancreas,pancreas,0.114,0.594
SW1990,PAAD,pancreas,pancreas,0.115,0.585
KP-4,PAAD,pancreas,pancreas,0.123,0.605
PANC-08-13,PAAD,pancreas,pancreas,0.124,0.593
PANC-04-03,PAAD,pancreas,pancreas,0.151,0.607
CAPAN-1,PAAD,pancreas,pancreas,0.152,0.629
Hs-766T,PAAD,pancreas,pancreas,0.156,0.622
Capan-2,PAAD,pancreas,pancreas,0.239,0.685
YAPC,PAAD,pancreas,pancreas,1.96,0.894
COLO-679,SKCM,skin,melanoma,0.00604,0.181
LOXIMVI,SKCM,skin,melanoma,0.0105,0.215
G-361,SKCM,skin,melanoma,0.0108,0.228
CHL-1,SKCM,skin,melanoma,0.0124,0.245
HT-144,SKCM,skin,melanoma,0.0125,0.265
MKL-2,UNCLASSIFIED,skin,Merkel_cell_carcinoma,0.0153,0.31
WM35,SKCM,skin,melanoma,0.0161,0.289
MKL-1-subclone-2,UNCLASSIFIED,skin,Merkel_cell_carcinoma,0.0205,0.331
451Lu,SKCM,skin,melanoma,0.0234,0.34
IGR-1,SKCM,skin,melanoma,0.0268,0.355
A431,UNCLASSIFIED,skin,skin_other,0.0269,0.361
MZ7-mel,SKCM,skin,melanoma,0.0273,0.368
SH-4,SKCM,skin,melanoma,0.0308,0.407
A375,SKCM,skin,melanoma,0.0345,0.393
IST-MEL1,SKCM,skin,melanoma,0.0346,0.41
IGR-37,SKCM,skin,melanoma,0.0412,0.427
MEL-JUSO,SKCM,skin,melanoma,0.0415,0.435
A101D,SKCM,skin,melanoma,0.0432,0.443
SK-MEL-30,SKCM,skin,melanoma,0.0435,0.44
HMV-II,SKCM,skin,melanoma,0.0481,0.459
RPMI-7951,SKCM,skin,melanoma,0.0487,0.456
RVH-421,SKCM,skin,melanoma,0.049,0.463
UACC-257,SKCM,skin,melanoma,0.0492,0.462
MZ2-MEL,SKCM,skin,melanoma,0.0506,0.465
WM278,SKCM,skin,melanoma,0.0537,0.474
Hs-940-T,SKCM,skin,melanoma,0.0547,0.477
GAK,SKCM,skin,melanoma,0.0569,0.481
SK-MEL-3,SKCM,skin,melanoma,0.0591,0.488
WM793B,SKCM,skin,melanoma,0.061,0.493
MMAC-SF,SKCM,skin,melanoma,0.0623,0.496
A388,UNCLASSIFIED,skin,skin_other,0.0672,0.507
CP66-MEL,SKCM,skin,melanoma,0.0686,0.51
LB2518-MEL,SKCM,skin,melanoma,0.0693,0.512
UISO-MCC-1,UNCLASSIFIED,skin,Merkel_cell_carcinoma,0.0694,0.514
K19,UNCLASSIFIED,skin,melanoma,0.0712,0.516
A2058,SKCM,skin,melanoma,0.0719,0.519
Hs-939-T,SKCM,skin,melanoma,0.0764,0.527
COLO-800,SKCM,skin,melanoma,0.0769,0.53
LB373-MEL-D,SKCM,skin,melanoma,0.0809,0.537
WM1552C,SKCM,skin,melanoma,0.0867,0.548
SK-MEL-2,SKCM,skin,melanoma,0.0884,0.55
VMRC-MELG,SKCM,skin,melanoma,0.101,0.571
IPC-298,SKCM,skin,melanoma,0.105,0.579
UACC-62,SKCM,skin,melanoma,0.107,0.582
G-MEL,SKCM,skin,melanoma,0.114,0.591
K8,UNCLASSIFIED,skin,melanoma,0.133,0.632
K2,SKCM,skin,melanoma,0.156,0.623
MCC13,UNCLASSIFIED,skin,Merkel_cell_carcinoma,0.187,0.677
CP50-MEL-B,SKCM,skin,melanoma,0.198,0.676
SK-MEL-24,SKCM,skin,melanoma,0.206,0.666
DJM-1,UNCLASSIFIED,skin,skin_other,0.241,0.705
WM239A,UNCLASSIFIED,skin,melanoma,0.243,0.714
M14,SKCM,skin,melanoma,0.307,0.732
SK-MEL-28,SKCM,skin,melanoma,0.31,0.741
WM902B,UNCLASSIFIED,skin,melanoma,0.32,0.748
COLO-829,SKCM,skin,melanoma,0.355,0.715
COLO-783,SKCM,skin,melanoma,0.435,0.788
COLO-792,SKCM,skin,melanoma,0.5,0.803
SK-MEL-1,SKCM,skin,melanoma,0.504,0.823
MCC26,UNCLASSIFIED,skin,Merkel_cell_carcinoma,0.52,0.773
Mewo,SKCM,skin,melanoma,0.951,0.843
C32,SKCM,skin,melanoma,1.06,0.868
WM-115,SKCM,skin,melanoma,9.86,0.966
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0214,0.348
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.0268,0.366
STS-0421,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0352,0.412
MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.0354,0.413
